Index,To-Closest-Doubles-Sideline-Distance (m),To-Baseline-Distance (m)
1,0.79,6
2,1.76,4.01
3,2.81,6.52
4,2.33,1.44
5,2.83,3.5
6,1.39,3.45
7,2.07,3.89
8,2.64,4.24
9,2.2,5.24
10,2.32,5.1
11,2.25,5.85
12,2.14,4.44
13,1.18,3.82
14,2.27,3.55
15,1.9,7.6
16,1.48,5.89
17,2.69,5
18,2.29,3.05
19,2.54,5.33
20,2,3.49
21,2.13,3.82
22,2.35,2.9
23,1.89,4.19
24,2.28,5.36
25,1.98,4.57
26,1.9,5.18
27,2.79,2.78
28,1.9,3.88
29,2.02,3.88
30,1.31,2.72
31,2.42,5.59
32,2.11,4.05
33,1.95,4.24
34,3.01,3.16
35,1.05,4.71
36,1.93,3.19
37,1.66,3.56
38,2.15,5.4
39,1.95,3.74
40,2.01,4.3
41,2.16,3.55
42,2.16,3.92
43,1.83,3.02
44,2.71,4.9
45,6.1,2.64
46,1.62,3.06
47,2.65,4.04
48,1.63,3.32
49,2.14,3.59
50,0.91,3.32
51,1.48,1.7
52,1.85,4.75
53,2.6,4.72
54,2.3,2.34
55,2.64,4.38
56,2.24,3.99
57,2.79,6.87
58,1.43,4.62
59,1.37,5.27
60,3.29,2.39
61,2.87,2.08
62,2.07,5.3
63,1.92,5.25
64,1.68,3.35
65,2.16,3.84
66,2.93,4.9
67,2.89,3
68,2.66,6.02
69,2.67,5.67
70,2.51,2.93
71,2.87,4.5
72,2.13,3.44
73,1.8,0.5
74,2.83,7.74
75,2.15,3.78
76,2.4,3.34
77,1.55,5.21
78,1.25,4.35
79,3.13,4.11
80,2.63,3.34
81,2.69,6.88
82,1.92,4.43
83,2.77,2.61
84,2.65,3.87
85,2.82,3.7
86,3.15,5.63
87,1.95,2.85
88,2.97,1.84
89,2.59,1.9
90,2.6,4.17
91,1.66,3.29
92,2.76,3.72
93,2.37,1.71
94,1.89,3.92
95,2.16,6.32
96,2.54,5.97
97,1.8,3.16
98,2.02,5.4
99,1.61,6.1
